Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.63,43.68,TORONTO INTL A,6158731,2023-01-01,2023,01,01,,3.2,,-0.1,,1.6,,16.4,,0.0,,1.9,,0.0,T,1.9,,,,30,,42,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-02,2023,01,02,,0.3,,-5.1,,-2.4,,20.4,,0.0,,0.0,,0.0,,0.0,,17,,29,,37,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-03,2023,01,03,,-0.4,,-7.1,,-3.8,,21.8,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-01-04,2023,01,04,,2.8,,-1.9,,0.4,,17.6,,0.0,,0.1,,0.0,,0.1,,,,28,,39,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-05,2023,01,05,,-3.0,,-9.2,,-6.1,,24.1,,0.0,,6.2,,0.0,,6.2,,,,7,,35,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-06,2023,01,06,,4.2,,2.1,,3.2,,14.8,,0.0,,0.9,,0.0,,0.9,,,,22,,34,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-07,2023,01,07,,1.1,,-3.5,,-1.2,,19.2,,0.0,,0.0,,0.0,T,0.0,T,,,34,,36,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-08,2023,01,08,,-2.2,,-5.9,,-4.1,,22.1,,0.0,,0.0,,0.0,T,0.0,T,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-01-09,2023,01,09,,1.2,,-2.8,,-0.8,,18.8,,0.0,,0.0,T,0.0,,0.0,T,,,28,,45,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-10,2023,01,10,,2.2,,-1.2,,0.5,,17.5,,0.0,,1.7,,0.0,,1.7,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-01-11,2023,01,11,,0.9,,-3.4,,-1.2,,19.2,,0.0,,0.0,,1.2,,1.0,,9,,19,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-12,2023,01,12,,3.6,,-0.5,,1.6,,16.4,,0.0,,3.4,,2.8,,6.2,,1,E,36,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-13,2023,01,13,,1.4,,-4.2,,-1.4,,19.4,,0.0,,0.0,,0.9,,0.9,,9,,27,,54,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-14,2023,01,14,,-3.2,,-10.6,,-6.9,,24.9,,0.0,,0.0,,0.0,,0.0,,6,,33,,38,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-15,2023,01,15,,4.0,,0.4,,2.2,,15.8,,0.0,,4.0,,0.0,,4.0,,,,,M,,M
